tweet,sentiment
corona ruin someth look forward say,2
stop take corona lightli joke shock whole world isol shut hurt,0
wethepeopl st get full protect corona viru,1
love letter home recip stori palestinian tabl realli fantast book stori recip,1
believ neg also suspend interest student loan mention left wing media corona viru plan help expert solid perfect solid,0
indo blm lockdown corona viru like,2
border remain open corona close rice,0
hold awn rapunzel basic quarantin year life kingdom call corona goodbehskd hi dn,2
corona scare fact groceri store look like fuck apocalyps happen,0
corona viru gone soon keep pray strengthen faith god,2
understand us approach,2
sir plz help mbb st yr th yr student,2
teuk sneez koongi start bark teuk sorri koongi rhiniti corona lol,1
break new vaccin work china corona viru first particip clinic trial,1
omg sameee,2
corona viru final cancel school month,2
last two brain cell scream corona viru pet dawg loop rn,2
america humanitarian oblig end sanction,2
corona free time celebr,1
stock market fall point investor lose rs lakh crore econom corona haunt economi bjp govt,1
jersey hard,0
bro fuck corona wanna see friend,0
sanit purs corona viru dirti caus keep sanit,0
last two brain cell scream corona viru pet dawg loop rn,2
joke friend friend die corona age stay insid fuckin hous civ,2
tellin rapunzel quarantin life caus mom hide corona,2
corona saf enter throat ah fufu ab nkoa bi ago achop put ein top nu bro go talk say make elef,1
corona cancel everyth except solat lima waktu,2
one brain corona time,2
corona viru gone soon keep pray strengthen faith god,2
st bday,0
corona viru happen stop watch one video casey frey,2
make test belfast nh hasnt order export compani surrey,2
laid corona day mental breakdown hey least still free scoop ice cream culver,2
die climat chang unless say die without health insur unless,2
eric fr quarantin bitch instead corona new haircut,1
nba player final come back corona quarantin,2
bjp state filthi facil photo round yesterday facil prepar,0
dude live school week bc corona capit us,1
mid summer hope mid april got shit,0
liter talk corona viru,2
day long silenc outbreak first announc lol,1
import info articl flatten curv key slow spread,1
corona go around trip,2
wait happen video lol,1
witch aint hear one peep bout hex manifest corona bitch away,2
first brunch corona shit gon one book,1
particip big brother brazil caught corona viru insid program die live program,1
crazi baton roug senior high school end corona epidem freshman year start,0
peopl smile amp wave kid go weird,1
